key,en,mn,ko,mn_new,ko_new,notes
meta.title,E & S Discovery Mongolia — Private Mongolia Travel & Tours,"E & S Discovery Mongolia — Монголын хувийн аялал, тур",E & S 디스커버리 몽골 — 프라이빗 몽골 여행 & 투어,,,
meta.description,"Curated private journeys and small group tours through Mongolia's nomadic culture, endless steppes and remote landscapes — crafted by trusted local experts.","Монголын нүүдэлчин соёл, төгсгөлгүй тал нутаг, алслагдсан байгалиар дамжуулсан хувийн болон бага бүлгийн аялал — итгэмжлэгдсэн орон нутгийн мэргэжилтнүүдээр зохион байгуулагдсан.","몽골의 유목 문화와 끝없는 초원, 오지 풍경을 신뢰할 수 있는 현지 전문가가 기획한 맞춤형 프라이빗 여행과 소규모 그룹 투어.",,,
common.read_more,Read more,Дэлгэрэнгүй,더 보기,,,
common.read_less,Read less,Хураах,간략히 보기,,,
common.save,Save,Хадгалах,저장,,,
common.share,Share,Хуваалцах,공유,,,
common.close,Close,Хаах,닫기,,,
common.menu,Menu,Цэс,메뉴,,,
common.subscribe,Subscribe,Бүртгүүлэх,구독,,,
common.from,from,эхлэх үнэ,부터,,,
common.per_person,/ person,/ хүн,/ 인,,,
common.sending,Sending…,Илгээж байна…,전송 중…,,,
common.error_generic,Something went wrong — please try again.,Ямар нэг зүйл буруу боллоо — дахин оролдоно уу.,문제가 발생했습니다 — 다시 시도해 주세요.,,,
common.selected,Selected,Сонгогдсон,선택됨,,,
common.select,Select,Сонгох,선택,,,
nav.tours,Tours,Тур,투어,,,
nav.aboutMongolia,About Mongolia,Монголын тухай,몽골 소개,,,
nav.airport,Airport,Онгоцны буудал,공항,,,
nav.carRental,Car Rental,Машин түрээс,렌터카,,,
nav.journal,Journal,Блог,저널,,,
nav.partners,Partners,Хамтрагчид,파트너,,,
nav.reviews,Reviews,Сэтгэгдэл,후기,,,
nav.about,About,Бидний тухай,회사 소개,,,
nav.contact,Contact,Холбоо барих,문의,,,
nav.bookCta,Book a Trip,Захиалах,여행 예약,,,
nav.share,Share a Tour,Аялал хуваалцах,투어 공유,,,
hero.eyebrow,Experience the Last True Wilderness,Сүүлийн жинхэнэ зэрлэг байгалийг мэдрэ,마지막 진정한 야생을 경험하다,,,
hero.title,Experience Mongolia with Trusted Local Experts Since 2004,Монгол — Энгийнээс давсан газар,2004년부터 신뢰할 수 있는 현지 전문가와 함께하는 몽골,,,
hero.subtitle,Private journeys & small group tours through Mongolia’s nomadic culture and remote landscapes — crafted by trusted local experts since 2004.,"Төгсгөлгүй тал нутаг, эртний уламжлал, гайхамшигт байгалиар дамжуулсан хувийн аялал.","2004년부터 신뢰할 수 있는 현지 전문가가 기획한, 몽골의 유목 문화와 오지 풍경을 만나는 프라이빗 여행 & 소규모 그룹 투어.",,,
hero.cta_explore,Explore Journeys,Аяллуудыг үзэх,여행 둘러보기,,,
hero.cta_film,Watch Film,Кино үзэх,영상 보기,,,
hero.scroll,Scroll to Discover,Доош гүйлгэн нээ,스크롤하여 더 보기,,,
search.destination_label,Choose your destination?,Хаашаа аялахыг хүсч байна вэ?,목적지를 선택하세요,,,
search.destination_placeholder,Select destination,Аялал газар сонгох,목적지 선택,,,
search.duration_label,Duration,Хугацаа,기간,,,
search.duration_placeholder,Any duration,Ямар ч хугацаа,기간 무관,,,
search.style_label,Travel Style,Аяллын хэлбэр,여행 스타일,,,
search.style_placeholder,Any style,Ямар ч хэлбэр,스타일 무관,,,
search.cta,Explore,Хайх,둘러보기,,,
search.destinations[0],Terelj National Park,Тэрэлж Үндэсний Цэцэрлэгт Хүрээлэн,테를지 국립공원,,,
search.destinations[1],Gobi Desert,Говь цөл,고비 사막,,,
search.destinations[2],Khuvsgul Lake,Хөвсгөл нуур,홉스골 호수,,,
