key,en,mn
meta.title,E & S Discovery Mongolia — Private Mongolia Travel & Tours,"E & S Discovery Mongolia — Монголын хувийн аялал, тур"
meta.description,"Curated private journeys and small group tours through Mongolia's nomadic culture, endless steppes and remote landscapes — crafted by trusted local experts.","Монголын нүүдэлчин соёл, төгсгөлгүй тал нутаг, алслагдсан байгалиар дамжуулсан хувийн болон бага бүлгийн аялал — итгэмжлэгдсэн орон нутгийн мэргэжилтнүүдээр зохион байгуулагдсан."
common.read_more,Read more,Дэлгэрэнгүй
common.read_less,Read less,Хураах
common.save,Save,Хадгалах
common.share,Share,Хуваалцах
common.close,Close,Хаах
common.menu,Menu,Цэс
common.subscribe,Subscribe,Бүртгүүлэх
common.from,from,эхлэх үнэ
common.per_person,/ person,/ хүн
common.sending,Sending…,Илгээж байна…
common.error_generic,Something went wrong — please try again.,Ямар нэг зүйл буруу боллоо — дахин оролдоно уу.
common.selected,Selected,Сонгогдсон
common.select,Select,Сонгох
nav.tours,Tours,Тур
nav.aboutMongolia,About Mongolia,Монголын тухай
nav.airport,Airport,Онгоцны буудал
nav.carRental,Car Rental,Машин түрээс
nav.journal,Journal,Блог
nav.partners,Partners,Хамтрагчид
nav.reviews,Reviews,Сэтгэгдэл
nav.about,About,Бидний тухай
nav.contact,Contact,Холбоо барих
nav.bookCta,Book a Trip,Захиалах
nav.share,Share a Tour,Аялал хуваалцах
hero.eyebrow,Experience the Last True Wilderness,Сүүлийн жинхэнэ зэрлэг байгалийг мэдрэ
hero.title,Experience Mongolia with Trusted Local Experts Since 2004,Монгол — Энгийнээс давсан газар
hero.subtitle,Private journeys & small group tours through Mongolia’s nomadic culture and remote landscapes — crafted by trusted local experts since 2004.,"Төгсгөлгүй тал нутаг, эртний уламжлал, гайхамшигт байгалиар дамжуулсан хувийн аялал."
hero.cta_explore,Explore Journeys,Аяллуудыг үзэх
hero.cta_film,Watch Film,Кино үзэх
hero.scroll,Scroll to Discover,Доош гүйлгэн нээ
search.destination_label,Choose your destination?,Хаашаа аялахыг хүсч байна вэ?
search.destination_placeholder,Select destination,Аялал газар сонгох
search.duration_label,Duration,Хугацаа
search.duration_placeholder,Any duration,Ямар ч хугацаа
search.style_label,Travel Style,Аяллын хэлбэр
search.style_placeholder,Any style,Ямар ч хэлбэр
search.cta,Explore,Хайх
search.destinations[0],Terelj National Park,Тэрэлж Үндэсний Цэцэрлэгт Хүрээлэн
search.destinations[1],Gobi Desert,Говь цөл
search.destinations[2],Khuvsgul Lake,Хөвсгөл нуур
search.destinations[3],Altai Mountains,Алтайн нуруу
search.destinations[4],Khustain Nuruu,Хустайн Нуруу
search.durations[0],3–5 days,3–5 өдөр
search.durations[1],6–9 days,6–9 өдөр
search.durations[2],10–14 days,10–14 өдөр
search.durations[3],15+ days,15+ өдөр
search.styles[0],Private Tour,Хувийн тур
search.styles[1],Luxury Camp,Тансаг лагерь
search.styles[2],Cultural Journey,Соёлын аялал
search.styles[3],Adventure,Адал явдал
search.styles[4],Photography,Гэрэл зургийн аялал
journeys.eyebrow,Featured Journeys,Онцлох аяллууд
journeys.title,Handcrafted Experiences,Гар аргаар бүтээсэн туршлагууд
journeys.view_all,View All Journeys,Бүх аяллыг үзэх
